,O,H,L,C,V,date
326,11901.15,11941.15,11121.38,11385.73,10365.242122,2020-08-11 02:00:00
327,11385.97,11627.38,11145.0,11567.18,7153.849603,2020-08-12 02:00:00
328,11567.18,11805.35,11277.17,11794.79,7861.039737,2020-08-13 02:00:00
329,11794.8,11860.74,11652.74,11773.55,6595.921524,2020-08-14 02:00:00
330,11773.55,11991.83,11688.5,11859.31,6825.133905,2020-08-15 02:00:00
331,11859.22,11939.15,11687.55,11915.38,4615.697838,2020-08-16 02:00:00
332,11915.4,12482.2,11774.56,12295.87,9064.202232,2020-08-17 02:00:00
333,12295.08,12400.0,11811.26,11954.07,8855.678795,2020-08-18 02:00:00
334,11954.07,12024.52,11568.08,11757.13,9044.159375,2020-08-19 02:00:00
335,11756.7,11889.04,11671.3,11861.39,5146.692745,2020-08-20 02:00:00
336,11861.19,11884.03,11486.15,11528.88,8148.887549,2020-08-21 02:00:00
337,11528.88,11689.97,11372.6,11669.87,5614.030649,2020-08-22 02:00:00
338,11669.64,11719.15,11520.0,11651.37,4270.837864,2020-08-23 02:00:00
339,11651.37,11829.25,11592.02,11749.98,5516.325039,2020-08-24 02:00:00
340,11749.96,11767.86,11114.92,11322.05,8807.880897,2020-08-25 02:00:00
341,11322.02,11548.08,11250.44,11467.49,6244.919313,2020-08-26 02:00:00
