,2K-mean,KNN,2KNN,Actual_price,Error
411,15606.349999999999,15612.81,15599.89,14835.97,-770.3799999999992
412,15217.93,15599.89,14835.97,15488.13,270.1999999999989
413,15162.05,14835.97,15488.13,15341.03,178.98000000000138
414,15414.58,15488.13,15341.03,15313.17,-101.40999999999985
415,15327.1,15341.03,15313.17,15700.26,373.15999999999985
416,15506.715,15313.17,15700.26,16310.75,804.0349999999999
417,16005.505000000001,15700.26,16310.75,16338.89,333.3849999999984
418,16324.82,16310.75,16338.89,16081.42,-243.39999999999964
419,16210.154999999999,16338.89,16081.42,15968.15,-242.0049999999992
420,16024.785,16081.42,15968.15,16720.0,695.2150000000001
421,16344.075,15968.15,16720.0,17678.08,1334.005000000001
422,17199.04,16720.0,17678.08,17791.08,592.0400000000009
423,17734.58,17678.08,17791.08,17821.41,86.82999999999811
424,17806.245000000003,17791.08,17821.41,18670.93,864.6849999999977
425,18246.17,17821.41,18670.93,18717.9,471.7300000000032
426,18694.415,18670.93,18717.9,18435.63,-258.78499999999985
427,18576.765,18717.9,18435.63,18385.0,-191.76499999999942
428,18410.315000000002,18435.63,18385.0,19175.26,764.9449999999961
429,18780.129999999997,18385.0,19175.26,18724.73,-55.39999999999782
430,18949.995,19175.26,18724.73,17157.34,-1792.6549999999988
431,17941.035,18724.73,17157.34,17146.41,-794.625
432,17151.875,17157.34,17146.41,17735.55,583.6749999999993
433,17440.98,17146.41,17735.55,18195.48,754.5
434,17965.515,17735.55,18195.48,19700.79,1735.2750000000015
435,18948.135000000002,18195.48,19700.79,18776.69,-171.44500000000335
436,19238.739999999998,19700.79,18776.69,19212.25,-26.489999999997963
437,18994.47,18776.69,19212.25,19440.0,445.52999999999884
438,19326.125,19212.25,19440.0,18656.86,-669.2649999999994
439,19048.43,19440.0,18656.86,19158.17,109.73999999999796
440,18907.515,18656.86,19158.17,19370.88,463.3650000000016
441,19264.525,19158.17,19370.88,19174.1,-90.42500000000291
442,19272.489999999998,19370.88,19174.1,18317.05,-955.4399999999987
443,18745.574999999997,19174.1,18317.05,18547.52,-198.05499999999665
444,18432.285,18317.05,18547.52,18253.12,-179.16500000000087
445,18400.32,18547.52,18253.12,18032.84,-367.47999999999956
